wavelength,x.cmf,y.cmf,z.cmf,illuminant.SPD,unk.SRD1,unk.SRD2,unk.SRD3
360,0.0001299,3.92E-06,0.0006061,0.466383,0.136213559,0.265174882,0.080792973
361,0.000145847,4.39E-06,0.000680879,0.471834,0.121034603,0.255907156,0.090071943
362,0.000163802,4.93E-06,0.000765146,0.477285,0.118054707,0.25783881,0.089008371
363,0.000184004,5.53E-06,0.000860012,0.482735,0.115434994,0.259422712,0.087536069
364,0.00020669,6.21E-06,0.000966593,0.488186,0.112873512,0.263752779,0.083898077
365,0.0002321,6.97E-06,0.001086,0.493637,0.112030436,0.267213668,0.081855852
366,0.000260728,7.81E-06,0.001220586,0.499088,0.109963095,0.269975745,0.080004747
367,0.000293075,8.77E-06,0.001372729,0.504539,0.106157801,0.269104887,0.079099083
368,0.000329388,9.84E-06,0.001543579,0.509989,0.103934806,0.270007383,0.077978557
369,0.000369914,1.10E-05,0.001734286,0.51544,0.101390975,0.270970404,0.075117861
370,0.0004149,1.24E-05,0.001946,0.520891,0.100006593,0.269768708,0.073010258
371,0.000464159,1.39E-05,0.002177777,0.518777,0.09899634,0.267875054,0.071928348
372,0.000518986,1.56E-05,0.002435809,0.516664,0.098071097,0.266998917,0.07105614
373,0.000581854,1.74E-05,0.002731953,0.51455,0.096989588,0.266024667,0.068228877
374,0.000655235,1.96E-05,0.003078064,0.512437,0.096002446,0.264966278,0.066029414
375,0.0007416,2.20E-05,0.003486,0.510323,0.094880234,0.262903821,0.064896114
376,0.00084503,2.48E-05,0.003975227,0.508209,0.094000539,0.261949987,0.064028866
377,0.000964527,2.80E-05,0.00454088,0.506096,0.093041965,0.259999076,0.06195981
378,0.001094949,3.15E-05,0.00515832,0.503982,0.089920403,0.258335243,0.060316281
379,0.001231154,3.52E-05,0.005802907,0.501869,0.089569876,0.256993285,0.060000621
380,0.001368,3.90E-05,0.006450001,0.499755,0.088069342,0.253891239,0.058909134
381,0.00150205,4.28E-05,0.007083216,0.504428,0.086012062,0.252008236,0.058007454
382,0.001642328,4.69E-05,0.007745488,0.5091,0.085092384,0.250051068,0.055988053
383,0.001802382,5.16E-05,0.008501152,0.513773,0.083997515,0.2474793,0.055002457
384,0.001995757,5.72E-05,0.009414544,0.518446,0.083027082,0.245962501,0.053903868
385,0.002236,6.40E-05,0.01054999,0.523118,0.083000287,0.242984137,0.052999267
386,0.002535385,7.23E-05,0.0119658,0.527791,0.082106471,0.240177632,0.052104691
387,0.002892603,8.22E-05,0.01365587,0.532464,0.081006805,0.237512884,0.050025846
388,0.003300829,9.35E-05,0.01558805,0.537137,0.079992957,0.236084557,0.050000011
389,0.003753236,0.000106136,0.01773015,0.541809,0.08,0.234011173,0.049999796
390,0.004243,0.00012,0.02005001,0.546482,0.08,0.231284504,0.049017015
391,0.004762389,0.000134984,0.02251136,0.574589,0.079999885,0.228863327,0.049000044
392,0.005330048,0.000151492,0.02520288,0.602695,0.079892062,0.22692195,0.04903021
393,0.005978712,0.000170208,0.02827972,0.630802,0.080001927,0.225090086,0.047999219
394,0.006741117,0.000191816,0.03189704,0.658909,0.080000153,0.223397281,0.047025309
395,0.00765,0.000217,0.03621,0.687015,0.08023338,0.220798134,0.045901538
396,0.008751373,0.000246907,0.04143771,0.715122,0.080004189,0.21902018,0.046000021
397,0.01002888,0.00028124,0.04750372,0.743229,0.07899446,0.216963189,0.046107374
398,0.0114217,0.00031852,0.05411988,0.771336,0.078999997,0.215105419,0.044703826
399,0.01286901,0.000357267,0.06099803,0.799442,0.079,0.213,0.044
400,0.01431,0.000396,0.06785001,0.827549,0.077823119,0.210926297,0.044131621
401,0.01570443,0.000433715,0.07448632,0.83628,0.078717305,0.21009939,0.043025692
402,0.01714744,0.000473024,0.08136156,0.845011,0.079007153,0.208007839,0.043000504
403,0.01878122,0.000517876,0.08915364,0.853742,0.0779996,0.206330948,0.041994398
404,0.02074801,0.000572219,0.09854048,0.862473,0.077999971,0.205087477,0.042000416
405,0.02319,0.00064,0.1102,0.871204,0.07801569,0.202987281,0.041002504
406,0.02620736,0.00072456,0.1246133,0.879936,0.077991379,0.201447665,0.04100245
407,0.02978248,0.0008255,0.1417017,0.888667,0.077999997,0.199985333,0.041000014
408,0.03388092,0.00094116,0.1613035,0.897398,0.078,0.198179692,0.040975474
409,0.03846824,0.00106988,0.1832568,0.906129,0.078000008,0.196891579,0.040002073
410,0.04351,0.00121,0.2074,0.91486,0.078,0.196,0.04
411,0.0489956,0.001362091,0.2336921,0.916806,0.079006186,0.19491432,0.040000039
412,0.0550226,0.001530752,0.2626114,0.918752,0.079000002,0.194850357,0.040038208
413,0.0617188,0.001720368,0.2947746,0.920697,0.079000129,0.193999749,0.039813121
414,0.069212,0.001935323,0.3307985,0.922643,0.07932706,0.194,0.040105021
415,0.07763,0.00218,0.3713,0.924589,0.080000071,0.194000004,0.038963483
416,0.08695811,0.0024548,0.4162091,0.926535,0.079999486,0.19402693,0.039534794
417,0.09717672,0.002764,0.4654642,0.928481,0.081031812,0.194998646,0.038967633
418,0.1084063,0.0031178,0.5196948,0.930426,0.080999887,0.195978122,0.038863419
419,0.1207672,0.0035264,0.5795303,0.932372,0.081000662,0.196132789,0.039001886
420,0.13438,0.004,0.6456,0.934318,0.082061223,0.197749078,0.039000036
421,0.1493582,0.00454624,0.7184838,0.927568,0.082000016,0.198225311,0.039056182
422,0.1653957,0.00515932,0.7967133,0.920819,0.082023492,0.199830754,0.038000833
423,0.1819831,0.00582928,0.8778459,0.914069,0.08299795,0.201107159,0.038000001
424,0.198611,0.00654616,0.959439,0.90732,0.083001343,0.20093027,0.038
425,0.21477,0.0073,1.0390501,0.90057,0.083971224,0.202361372,0.038
426,0.2301868,0.008086507,1.1153673,0.893821,0.083947358,0.202947444,0.038
427,0.2448797,0.00890872,1.1884971,0.887071,0.085024251,0.203994163,0.037998299
428,0.2587773,0.00976768,1.2581233,0.880322,0.086001022,0.20499642,0.036986528
429,0.2718079,0.01066443,1.3239296,0.873572,0.086422551,0.205422413,0.036999961
430,0.2839,0.0116,1.3856,0.866823,0.086965805,0.205999881,0.037
431,0.2949438,0.01257317,1.4426352,0.885006,0.088425574,0.207105271,0.037000033
432,0.3048965,0.01358272,1.4948035,0.903188,0.089009933,0.207009866,0.036990117
433,0.3137873,0.01462968,1.5421903,0.921371,0.089908699,0.207997928,0.03600204
434,0.3216454,0.01571509,1.5848807,0.939554,0.09095221,0.20801265,0.036
435,0.3285,0.01684,1.62296,0.957736,0.092377506,0.208997943,0.035999968
436,0.3343513,0.01800736,1.6564048,0.975919,0.093909746,0.209000085,0.036016726
437,0.3392101,0.01921448,1.6852959,0.994102,0.094965515,0.209330652,0.036199654
438,0.3431213,0.02045392,1.7098745,1.01228,0.096011599,0.21000018,0.03599921
439,0.3461296,0.02171824,1.7303821,1.03047,0.097269082,0.21,0.036971935
440,0.34828,0.023,1.74706,1.04865,0.099051298,0.210000129,0.037000018
441,0.3495999,0.02429461,1.7600446,1.06079,0.099988091,0.210200088,0.037
442,0.3501474,0.02561024,1.7696233,1.07294,0.10099721,0.211000341,0.037
443,0.350013,0.02695857,1.7762637,1.08508,0.101974029,0.210999989,0.037
